,id,title,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,month,year,day_of_week,weighted_vote,popularity_category
2669,23082,The Invention of Lying,Comedy,14.907,Wintergreen Productions,2009-09-13,18500000.0,32406507.0,100.0,6.184,1792.0,9,2009,6,6.297180515759313,High
2670,277685,Unfriended,Horror,14.906,Blumhouse Productions,2014-10-22,1000000.0,62882090.0,82.0,5.5,3059.0,10,2014,2,5.746366100024637,High
2671,13341,Bad News Bears,Comedy,14.898,Media Talent Group,2005-07-22,30000000.0,34252847.0,113.0,5.88,217.0,7,2005,4,6.389449465899753,High
2672,229297,Magic in the Moonlight,Comedy,14.898,Gravier Productions,2014-07-25,16800000.0,51029361.0,98.0,6.5,1884.0,7,2014,4,6.5,High
2673,13691,Piglet's Big Movie,Animation,14.893,Walt Disney Pictures,2003-03-16,46000000.0,62870546.0,75.0,6.7,290.0,3,2003,6,6.544961240310077,High
2674,253626,Good Kill,Drama,14.892,Voltage Pictures,2015-04-09,15000000.0,316472.0,104.0,6.0,465.0,4,2015,3,6.341296928327646,High
2675,534072,Great White,Horror,14.892,ProdigyMovies,2021-05-13,15000000.0,517929.0,91.0,5.3,306.0,5,2021,3,6.218836140888209,High
2676,27585,Rabbit Hole,Drama,14.891,OddLot Entertainment,2010-12-16,5000000.0,5144717.0,91.0,6.705,506.0,12,2010,3,6.5688778220451525,High
2677,12573,A Serious Man,Comedy,14.889,StudioCanal,2009-09-30,7000000.0,31430334.0,106.0,6.767,1782.0,9,2009,2,6.671025880661395,High
2678,1776,Jesus Camp,Documentary,14.886,A&E IndieFilms,2006-09-15,15000000.0,1013596.0,84.0,7.0,301.0,9,2006,4,6.615680245964643,High
2679,6073,The Mexican,Action,14.874,Pistolero Productions LLC,2001-03-01,57000000.0,147845033.0,123.0,5.9,1236.0,3,2001,3,6.168336314847942,High
2680,12253,Biker Boyz,Action,14.871,DreamWorks Pictures,2003-01-31,24000000.0,23510601.0,110.0,6.2,284.0,1,2003,4,6.433644859813084,High
2681,4597,Armored,Action,14.868,Screen Gems,2009-12-04,20000000.0,22942221.0,88.0,5.691,553.0,12,2009,4,6.211927237604637,High
2682,8202,Æon Flux,Science Fiction,14.86,Paramount,2005-11-30,62000000.0,53321673.0,93.0,5.6,1923.0,11,2005,2,5.9079028395484094,High
2683,68812,The Iceman,Thriller,14.859,Millennium Films,2012-09-01,20000000.0,1969193.0,105.0,6.5,875.0,9,2012,5,6.5,High
2684,8398,The Hitcher,Action,14.836,Intrepid Pictures,2007-01-19,10000000.0,25399945.0,84.0,5.9,796.0,1,2007,4,6.234075723830735,High
2685,2046,The Gift,Horror,14.832,Lakeshore Entertainment,2000-03-16,10000000.0,12008642.0,112.0,6.4,1000.0,3,2000,3,6.45,High
